Year,Month,TempAnomaly,DengueCases,MalariaIncidence,Humidity,Precipitation
2000,1,0.832,650.0,19.95669598,56.25,10.38
2000,2,-0.67,650.0,19.95669598,53.00666667,17.44
2000,3,-0.412,650.0,19.95669598,49.76333333,12.11
2000,4,1.127,650.0,19.95669598,46.52,33.27
2000,5,0.04,650.0,19.95669598,55.13333333,72.38
2000,6,-0.708,650.0,19.95669598,63.74666667,165.45
2000,7,-0.003,650.0,19.95669598,72.36,289.76
2000,8,0.552,650.0,19.95669598,70.58666667,239.27
2000,9,0.313,650.0,19.95669598,68.81333333,138.48
2000,10,1.094,650.0,19.95669598,67.04,54.04
2000,11,1.16,650.0,19.95669598,63.72666667,15.82
2000,12,0.547,650.0,19.95669598,60.41333333,9.29
2001,1,0.278,3306.0,19.89829156,57.1,9.26
2001,2,1.087,3306.0,19.89829156,53.60666667,5.97
2001,3,0.379,3306.0,19.89829156,50.11333333,14.59
2001,4,-0.176,3306.0,19.89829156,46.62,33.84
2001,5,0.381,3306.0,19.89829156,55.29,70.65
2001,6,-1.146,3306.0,19.89829156,63.96,186.96
2001,7,0.011,3306.0,19.89829156,72.63,267.04
2001,8,0.524,3306.0,19.89829156,70.53,223.41
2001,9,1.017,3306.0,19.89829156,68.43,109.33
2001,10,0.739,3306.0,19.89829156,66.33,89.93
2001,11,1.158,3306.0,19.89829156,62.80666667,19.63
2001,12,0.913,3306.0,19.89829156,59.28333333,7.27
2002,1,0.485,1926.0,18.46453365,55.76,12.28
2002,2,0.571,1926.0,18.46453365,52.54333333,12.31
2002,3,0.803,1926.0,18.46453365,49.32666667,12.66
2002,4,0.906,1926.0,18.46453365,46.11,28.29
2002,5,0.911,1926.0,18.46453365,55.12666667,50.31
2002,6,0.158,1926.0,18.46453365,64.14333333,150.44
2002,7,1.589,1926.0,18.46453365,73.16,172.14
2002,8,0.416,1926.0,18.46453365,71.44333333,254.4
2002,9,0.354,1926.0,18.46453365,69.72666667,133.7
2002,10,0.785,1926.0,18.46453365,68.01,70.7
2002,11,0.836,1926.0,18.46453365,65.00333333,24.65
2002,12,1.429,1926.0,18.46453365,61.99666667,7.33
2003,1,0.285,12754.0,19.35780028,58.99,8.97
2003,2,0.912,12754.0,19.35780028,54.91,23.63
2003,3,0.138,12754.0,19.35780028,50.83,17.21
2003,4,0.888,12754.0,19.35780028,46.75,27.54
2003,5,0.633,12754.0,19.35780028,55.56,30.38
2003,6,0.825,12754.0,19.35780028,64.37,144.87
2003,7,0.266,12754.0,19.35780028,73.18,304.78
2003,8,0.481,12754.0,19.35780028,71.43666667,221.49
2003,9,0.162,12754.0,19.35780028,69.69333333,162.87
2003,10,0.205,12754.0,19.35780028,67.95,93.52
2003,11,0.817,12754.0,19.35780028,64.57666667,16.74
2003,12,0.523,12754.0,19.35780028,61.20333333,9.99
2004,1,0.267,4153.0,21.22160403,57.83,15.1
2004,2,0.49,4153.0,21.22160403,54.27,5.87
2004,3,1.965,4153.0,21.22160403,50.71,9.66
2004,4,0.918,4153.0,21.22160403,47.15,33.79
2004,5,0.017,4153.0,21.22160403,55.86666667,58.72
2004,6,-0.424,4153.0,21.22160403,64.58333333,150.75
2004,7,0.598,4153.0,21.22160403,73.3,233.81
2004,8,0.331,4153.0,21.22160403,71.12666667,261.82
2004,9,0.734,4153.0,21.22160403,68.95333333,140.54
2004,10,-0.389,4153.0,21.22160403,66.78,103.55
2004,11,0.689,4153.0,21.22160403,63.52,18.41
2004,12,0.997,4153.0,21.22160403,60.26,6.23
2005,1,0.486,11985.0,22.48059003,57.0,15.8
2005,2,0.64,11985.0,22.48059003,53.21333333,13.3
2005,3,0.789,11985.0,22.48059003,49.42666667,24.76
2005,4,-0.109,11985.0,22.48059003,45.64,30.49
2005,5,0.042,11985.0,22.48059003,54.74666667,44.9
2005,6,1.356,11985.0,22.48059003,63.85333333,129.88
2005,7,0.163,11985.0,22.48059003,72.96,290.5
2005,8,0.714,11985.0,22.48059003,71.03,213.31
2005,9,0.493,11985.0,22.48059003,69.1,219.17
2005,10,0.187,11985.0,22.48059003,67.17,93.7
2005,11,0.093,11985.0,22.48059003,63.95333333,21.59
2005,12,0.112,11985.0,22.48059003,60.73666667,9.5
2006,1,0.717,12317.0,18.08708557,57.52,6.62
2006,2,2.54,12317.0,18.08708557,54.06,6.7
2006,3,0.012,12317.0,18.08708557,50.6,33.13
2006,4,0.302,12317.0,18.08708557,47.14,35.01
2006,5,0.274,12317.0,18.08708557,56.03666667,72.95
2006,6,-0.055,12317.0,18.08708557,64.93333333,140.46
2006,7,0.465,12317.0,18.08708557,73.83,308.41
2006,8,0.304,12317.0,18.08708557,71.76333333,268.05
2006,9,0.525,12317.0,18.08708557,69.69666667,188.12
2006,10,0.901,12317.0,18.08708557,67.63,80.64
2006,11,1.027,12317.0,18.08708557,63.78,30.66
2006,12,1.054,12317.0,18.08708557,59.93,6.04
2007,1,0.89,5530.0,17.32300737,56.08,3.34
2007,2,0.603,5530.0,17.32300737,52.80666667,27.82
2007,3,0.034,5530.0,17.32300737,49.53333333,17.89
2007,4,0.987,5530.0,17.32300737,46.26,32.48
2007,5,0.388,5530.0,17.32300737,55.45666667,47.64
2007,6,0.113,5530.0,17.32300737,64.65333333,156.99
2007,7,0.479,5530.0,17.32300737,73.85,283.68
2007,8,0.618,5530.0,17.32300737,72.01333333,257.34
2007,9,0.513,5530.0,17.32300737,70.17666667,211.4
2007,10,0.209,5530.0,17.32300737,68.34,56.96
2007,11,0.849,5530.0,17.32300737,64.77666667,21.97
2007,12,0.735,5530.0,17.32300737,61.21333333,8.55
2008,1,0.306,12540.0,17.8287401,57.65,12.52
2008,2,-0.849,12540.0,17.8287401,54.25,11.86
2008,3,0.831,12540.0,17.8287401,50.85,18.94
2008,4,0.042,12540.0,17.8287401,47.45,31.13
2008,5,0.072,12540.0,17.8287401,56.17666667,49.13
2008,6,-1.11,12540.0,17.8287401,64.90333333,209.92
2008,7,0.28,12540.0,17.8287401,73.63,262.98
2008,8,0.269,12540.0,17.8287401,71.78666667,291.33
2008,9,0.397,12540.0,17.8287401,69.94333333,175.06
2008,10,0.775,12540.0,17.8287401,68.1,63.34
2008,11,0.946,12540.0,17.8287401,64.21,27.92
2008,12,1.802,12540.0,17.8287401,60.32,9.87
2009,1,1.775,15535.0,18.07023836,56.43,6.67
2009,2,1.804,15535.0,18.07023836,53.22,7.3
2009,3,1.035,15535.0,18.07023836,50.01,12.25
2009,4,0.833,15535.0,18.07023836,46.8,18.06
2009,5,0.491,15535.0,18.07023836,55.89666667,57.93
2009,6,1.25,15535.0,18.07023836,64.99333333,100.1
2009,7,0.732,15535.0,18.07023836,74.09,286.95
2009,8,1.181,15535.0,18.07023836,71.87333333,216.77
2009,9,1.133,15535.0,18.07023836,69.65666667,164.14
2009,10,0.415,15535.0,18.07023836,67.44,74.36
2009,11,0.688,15535.0,18.07023836,63.61333333,49.14
2009,12,1.197,15535.0,18.07023836,59.78666667,11.86
2010,1,0.247,28292.0,17.35614751,55.96,7.61
2010,2,1.062,28292.0,17.35614751,52.73,9.15
2010,3,2.35,28292.0,17.35614751,49.5,11.78
2010,4,2.071,28292.0,17.35614751,46.27,32.53
2010,5,1.148,28292.0,17.35614751,55.09666667,55.64
2010,6,0.747,28292.0,17.35614751,63.92333333,140.68
2010,7,0.492,28292.0,17.35614751,72.75,300.51
2010,8,0.69,28292.0,17.35614751,71.18,294.12
2010,9,0.289,28292.0,17.35614751,69.61,220.35
2010,10,0.89,28292.0,17.35614751,68.04,89.97
2010,11,1.514,28292.0,17.35614751,64.14,50.2
2010,12,0.056,28292.0,17.35614751,60.24,16.27
2011,1,-0.375,18860.0,14.70751863,56.34,5.08
2011,2,0.42,18860.0,14.70751863,53.13666667,18.92
2011,3,0.583,18860.0,14.70751863,49.93333333,11.49
2011,4,-0.462,18860.0,14.70751863,46.73,31.01
2011,5,0.472,18860.0,14.70751863,55.69333333,48.0
2011,6,-0.462,18860.0,14.70751863,64.65666667,179.7
2011,7,0.382,18860.0,14.70751863,73.62,274.04
2011,8,0.419,18860.0,14.70751863,71.57666667,294.78
2011,9,0.334,18860.0,14.70751863,69.53333333,203.99
2011,10,0.773,18860.0,14.70751863,67.49,49.73
2011,11,1.281,18860.0,14.70751863,63.91333333,19.51
2011,12,0.791,18860.0,14.70751863,60.33666667,9.19
2012,1,-0.16,37070.0,11.76061765,56.76,20.02
2012,2,0.105,37070.0,11.76061765,53.39333333,5.19
2012,3,0.326,37070.0,11.76061765,50.02666667,8.62
2012,4,0.347,37070.0,11.76061765,46.66,38.41
2012,5,0.82,37070.0,11.76061765,55.71666667,33.3
2012,6,1.199,37070.0,11.76061765,64.77333333,107.16
2012,7,0.641,37070.0,11.76061765,73.83,267.99
2012,8,0.405,37070.0,11.76061765,71.72,276.3
2012,9,0.354,37070.0,11.76061765,69.61,217.36
2012,10,0.15,37070.0,11.76061765,67.5,61.47
2012,11,0.27,37070.0,11.76061765,64.06666667,24.99
2012,12,0.928,37070.0,11.76061765,60.63333333,9.94
2013,1,0.116,55153.0,9.036659487,57.2,7.64
2013,2,0.523,55153.0,9.036659487,53.85333333,21.52
2013,3,0.673,55153.0,9.036659487,50.50666667,13.57
2013,4,0.205,55153.0,9.036659487,47.16,27.81
2013,5,0.949,55153.0,9.036659487,56.03333333,50.3
2013,6,-0.683,55153.0,9.036659487,64.90666667,219.56
2013,7,0.007,55153.0,9.036659487,73.78,341.37
2013,8,0.207,55153.0,9.036659487,71.96,254.29
2013,9,0.793,55153.0,9.036659487,70.14,161.49
2013,10,0.426,55153.0,9.036659487,68.32,108.31
2013,11,0.204,55153.0,9.036659487,64.71,22.04
2013,12,0.428,55153.0,9.036659487,61.1,7.42
2014,1,0.373,28933.0,9.038309453,57.49,15.99
2014,2,-0.32,28933.0,9.038309453,54.03333333,20.28
2014,3,-0.257,28933.0,9.038309453,50.57666667,20.3
2014,4,0.379,28933.0,9.038309453,47.12,21.65
2014,5,-0.025,28933.0,9.038309453,55.89666667,60.17
2014,6,1.481,28933.0,9.038309453,64.67333333,113.94
2014,7,0.914,28933.0,9.038309453,73.45,277.2
2014,8,0.961,28933.0,9.038309453,71.72,232.38
2014,9,0.525,28933.0,9.038309453,69.99,205.14
2014,10,0.826,28933.0,9.038309453,68.26,74.82
2014,11,1.07,28933.0,9.038309453,,16.51
2014,12,0.127,28933.0,9.038309453,,9.23
2015,1,0.047,99913.0,6.562402317,,16.15
2015,2,1.108,99913.0,6.562402317,,11.93
2015,3,-0.095,99913.0,6.562402317,,31.33
2015,4,-0.416,99913.0,6.562402317,47.44,50.32
2015,5,0.815,99913.0,6.562402317,56.29,51.51
2015,6,-0.066,99913.0,6.562402317,65.14,179.11
2015,7,0.857,99913.0,6.562402317,73.99,272.76
2015,8,0.991,99913.0,6.562402317,72.37333333,255.16
2015,9,1.302,99913.0,6.562402317,70.75666667,157.53
2015,10,1.474,99913.0,6.562402317,69.14,50.84
2015,11,1.761,99913.0,6.562402317,65.31666667,38.57
2015,12,1.268,99913.0,6.562402317,61.49333333,11.11
2016,1,1.209,129166.0,6.700887587,57.67,9.08
2016,2,1.949,129166.0,6.700887587,54.09333333,9.5
2016,3,1.746,129166.0,6.700887587,50.51666667,21.83
2016,4,1.805,129166.0,6.700887587,46.94,23.13
2016,5,0.722,129166.0,6.700887587,56.00666667,66.88
2016,6,0.668,129166.0,6.700887587,65.07333333,153.51
2016,7,0.31,129166.0,6.700887587,74.14,336.4
2016,8,0.725,129166.0,6.700887587,72.29,255.37
2016,9,0.687,129166.0,6.700887587,70.44,167.44
2016,10,0.854,129166.0,6.700887587,68.59,60.01
2016,11,0.723,129166.0,6.700887587,64.86666667,12.98
2016,12,1.331,129166.0,6.700887587,61.14333333,11.77
2017,1,0.812,188401.0,5.000825391,57.42,13.01
2017,2,1.439,188401.0,5.000825391,54.02333333,6.7
2017,3,0.581,188401.0,5.000825391,50.62666667,19.44
2017,4,1.314,188401.0,5.000825391,47.23,38.23
2017,5,0.954,188401.0,5.000825391,56.35,51.16
2017,6,0.114,188401.0,5.000825391,65.47,158.6
2017,7,0.368,188401.0,5.000825391,74.59,318.06
2017,8,0.894,188401.0,5.000825391,72.60666667,254.53
2017,9,1.174,188401.0,5.000825391,70.62333333,174.16
2017,10,1.382,188401.0,5.000825391,68.64,89.54
2017,11,0.732,188401.0,5.000825391,65.49,22.95
2017,12,1.045,188401.0,5.000825391,62.34,10.94
2018,1,0.677,101192.0,3.625829767,59.19,3.91
2018,2,1.42,101192.0,3.625829767,55.44666667,6.71
2018,3,1.53,101192.0,3.625829767,51.70333333,11.33
2018,4,0.727,101192.0,3.625829767,47.96,34.14
2018,5,0.656,101192.0,3.625829767,56.64333333,54.96
2018,6,0.409,101192.0,3.625829767,65.32666667,154.08
2018,7,0.428,101192.0,3.625829767,74.01,305.56
2018,8,0.526,101192.0,3.625829767,72.33,231.88
2018,9,0.518,101192.0,3.625829767,70.65,153.54
2018,10,0.875,101192.0,3.625829767,68.97,49.64
2018,11,1.284,101192.0,3.625829767,65.4,18.63
2018,12,0.311,101192.0,3.625829767,61.83,10.41
2019,1,0.154,157315.0,3.003641417,58.26,11.87
2019,2,0.457,157315.0,3.003641417,54.98333333,16.65
2019,3,0.269,157315.0,3.003641417,51.70666667,12.35
2019,4,1.137,157315.0,3.003641417,48.43,27.55
2019,5,0.927,157315.0,3.003641417,56.86666667,48.84
2019,6,1.572,157315.0,3.003641417,65.30333333,125.65
2019,7,0.937,157315.0,3.003641417,73.74,324.77
2019,8,0.784,157315.0,3.003641417,72.07666667,312.33
2019,9,0.483,157315.0,3.003641417,70.41333333,268.86
2019,10,0.332,157315.0,3.003641417,68.75,114.41
2019,11,1.519,157315.0,3.003641417,65.63666667,26.08
2019,12,0.128,157315.0,3.003641417,62.52333333,11.98
2020,1,0.227,44585.0,2.653886881,59.41,23.32
2020,2,0.244,44585.0,2.653886881,55.33666667,11.21
2020,3,-0.3,44585.0,2.653886881,51.26333333,24.48
2020,4,0.037,44585.0,2.653886881,47.19,41.88
2020,5,0.097,44585.0,2.653886881,56.52333333,57.9
2020,6,-0.609,44585.0,2.653886881,65.85666667,171.83
2020,7,0.918,44585.0,2.653886881,75.19,269.07
2020,8,0.752,44585.0,2.653886881,73.19,301.65
2020,9,1.227,44585.0,2.653886881,71.19,196.88
2020,10,1.239,44585.0,2.653886881,69.19,92.36
2020,11,0.612,44585.0,2.653886881,65.31666667,25.13
2020,12,0.725,44585.0,2.653886881,61.44333333,11.78
